names,index,setting,Core,Parallelism,cri,makespan
our ,21,NoCore,6,30,20,33535
our ,50,NoCore,5,30,20,37102
other ,21,NoCore ,6,30,20,35037
other ,50,NoCore ,5,30,20,39626
our ,22,NoCore,6,30,20,33535
our ,51,NoCore,5,30,20,37102
other ,22,NoCore ,6,30,20,34178
other ,51,NoCore ,5,30,20,39234
our ,23,NoCore,6,30,20,33535
other ,23,NoCore ,6,30,20,39316
our ,52,NoCore,5,30,20,37102
our ,24,NoCore,6,30,20,33535
other ,24,NoCore ,6,30,20,37813
our ,25,NoCore,6,30,20,33535
other ,52,NoCore ,5,30,20,41869
other ,25,NoCore ,6,30,20,34952
our ,53,NoCore,5,30,20,37102
our ,26,NoCore,6,30,20,33535
other ,53,NoCore ,5,30,20,42931
other ,26,NoCore ,6,30,20,37311
our ,27,NoCore,6,30,20,33535
other ,27,NoCore ,6,30,20,35169
our ,28,NoCore,6,30,20,33535
our ,54,NoCore,5,30,20,37102
other ,28,NoCore ,6,30,20,35117
other ,54,NoCore ,5,30,20,38758
our ,29,NoCore,6,30,20,33535
our ,55,NoCore,5,30,20,37102
other ,29,NoCore ,6,30,20,40410
other ,55,NoCore ,5,30,20,41123
our ,30,NoCore,6,30,20,33535
our ,56,NoCore,5,30,20,37102
other ,56,NoCore ,5,30,20,41890
our ,57,NoCore,5,30,20,37102
other ,57,NoCore ,5,30,20,41947
other ,30,NoCore ,6,30,20,39060
our ,31,NoCore,6,30,20,33535
other ,31,NoCore ,6,30,20,39791
our ,32,NoCore,6,30,20,33535
our ,58,NoCore,5,30,20,37102
other ,32,NoCore ,6,30,20,36387
other ,58,NoCore ,5,30,20,41447
our ,33,NoCore,6,30,20,33535
our ,59,NoCore,5,30,20,37102
other ,33,NoCore ,6,30,20,36948
other ,59,NoCore ,5,30,20,39788
our ,34,NoCore,6,30,20,33535
other ,34,NoCore ,6,30,20,35055
our ,60,NoCore,5,30,20,37102
our ,35,NoCore,6,30,20,33535
other ,60,NoCore ,5,30,20,40502
other ,35,NoCore ,6,30,20,35068
our ,61,NoCore,5,30,20,37102
our ,36,NoCore,6,30,20,33535
other ,36,NoCore ,6,30,20,35154
other ,61,NoCore ,5,30,20,39719
our ,37,NoCore,6,30,20,33535
our ,62,NoCore,5,30,20,37102
other ,62,NoCore ,5,30,20,39674
our ,63,NoCore,5,30,20,37102
other ,63,NoCore ,5,30,20,37547
our ,64,NoCore,5,30,20,37102
other ,37,NoCore ,6,30,20,38888
our ,38,NoCore,6,30,20,33535
other ,38,NoCore ,6,30,20,36706
our ,39,NoCore,6,30,20,33535
other ,64,NoCore ,5,30,20,39161
other ,39,NoCore ,6,30,20,33926
our ,65,NoCore,5,30,20,37102
our ,40,NoCore,6,30,20,33535
other ,65,NoCore ,5,30,20,42609
other ,40,NoCore ,6,30,20,34724
our ,66,NoCore,5,30,20,37102
our ,41,NoCore,6,30,20,33535
other ,41,NoCore ,6,30,20,38009
our ,42,NoCore,6,30,20,33535
other ,42,NoCore ,6,30,20,40104
other ,66,NoCore ,5,30,20,41664
our ,43,NoCore,6,30,20,33535
our ,67,NoCore,5,30,20,37102
